FeedCreatedDateTime	PrintPriceLastModifiedDateTime	Currency	PrintCode	PrintTechnique	MOQPrintOrder	SetupNet	PrintSampleNet	SmallOrderChargeNet	NrOfColors	FullColor	VariableDataPrinting	PrintArea	PrintAreaFromCM2	PrintAreaToCM2	PrintPriceNet_1	PrintPriceNet_50	PrintPriceNet_100	PrintPriceNet_250	PrintPriceNet_500	PrintPriceNet_1000	PrintPriceNet_2500	PrintPriceNet_5000	PrintPriceNet_10000	PrintPriceGross_1	PrintPriceGross_50	PrintPriceGross_100	PrintPriceGross_250	PrintPriceGross_500	PrintPriceGross_1000	PrintPriceGross_2500	PrintPriceGross_5000	PrintPriceGross_10000
2023-07-31T11:17:24	2022-10-25T14:42:26	EUR	Pad Print	Tampondruk	1	222.00	222.00	0.00	6						2.96	2.49	1.30	1.23	1.16	1.07	0.99	0.91	0.84	5.19	4.37	2.28	2.16	2.04	1.88	1.74	1.60	1.47
2023-07-31T11:17:24	2022-10-25T14:42:24	EUR	Pad Print Drinkware	Tampondruk	1	37.00	37.00	0.00	1						1.42	0.75	0.46	0.41	0.36	0.32	0.30	0.26	0.24	2.49	1.32	0.81	0.72	0.63	0.56	0.53	0.46	0.42
2023-07-31T11:17:24	2022-10-25T14:42:24	EUR	Pad Print Drinkware	Tampondruk	1	74.00	74.00	0.00	2						1.75	1.10	0.66	0.61	0.54	0.48	0.45	0.41	0.37	3.07	1.93	1.16	1.07	0.95	0.84	0.79	0.72	0.65
2023-07-31T11:17:24	2022-10-25T14:42:24	EUR	Pad Print Drinkware	Tampondruk	1	111.00	111.00	0.00	3						2.08	1.44	0.86	0.79	0.73	0.65	0.61	0.54	0.50	3.65	2.53	1.51	1.39	1.28	1.14	1.07	0.95	0.88
2023-07-31T11:17:24	2022-10-25T14:42:24	EUR	Pad Print Drinkware	Tampondruk	1	148.00	148.00	0.00	4						2.41	1.79	1.06	0.99	0.91	0.81	0.75	0.68	0.63	4.23	3.14	1.86	1.74	1.60	1.42	1.32	1.19	1.11
2023-07-31T11:17:24	2022-10-25T14:42:24	EUR	Pad Print Drinkware	Tampondruk	1	185.00	185.00	0.00	5						2.74	2.13	1.24	1.19	1.10	0.97	0.90	0.83	0.75	4.81	3.74	2.18	2.09	1.93	1.70	1.58	1.46	1.32
2023-07-31T11:17:24	2022-10-25T14:42:24	EUR	Pad Print Drinkware	Tampondruk	1	222.00	222.00	0.00	6						3.07	2.49	1.44	1.39	1.29	1.13	1.06	0.96	0.88	5.39	4.37	2.53	2.44	2.26	1.98	1.86	1.68	1.54
2023-07-31T11:17:24	2022-10-25T14:42:25	EUR	Pad Print Low	Tampondruk	1	37.00	37.00	0.00	1						1.11	0.45	0.32	0.26	0.20	0.16	0.16	0.15	0.14	1.95	0.79	0.56	0.46	0.35	0.28	0.28	0.26	0.25
2023-07-31T11:17:24	2022-10-25T14:42:25	EUR	Pad Print Low	Tampondruk	1	74.00	74.00	0.00	2						1.27	0.62	0.44	0.39	0.29	0.26	0.26	0.25	0.24	2.23	1.09	0.77	0.68	0.51	0.46	0.46	0.44	0.42
2023-07-31T11:17:24	2022-10-25T14:42:25	EUR	Pad Print Low	Tampondruk	1	111.00	111.00	0.00	3						1.42	0.79	0.56	0.51	0.39	0.36	0.36	0.35	0.34	2.49	1.39	0.98	0.89	0.68	0.63	0.63	0.61	0.60
2023-07-31T11:17:24	2022-10-25T14:42:25	EUR	Pad Print Low	Tampondruk	1	148.00	148.00	0.00	4						1.57	0.96	0.68	0.63	0.48	0.46	0.46	0.45	0.44	2.75	1.68	1.19	1.11	0.84	0.81	0.81	0.79	0.77
2023-07-31T11:17:24	2022-10-25T14:42:25	EUR	Pad Print Low	Tampondruk	1	185.00	185.00	0.00	5						1.73	1.12	0.80	0.75	0.58	0.56	0.56	0.55	0.53	3.04	1.96	1.40	1.32	1.02	0.98	0.98	0.96	0.93
2023-07-31T11:17:24	2022-10-25T14:42:25	EUR	Pad Print Low	Tampondruk	1	222.00	222.00	0.00	6						1.88	1.30	0.92	0.87	0.68	0.65	0.65	0.64	0.63	3.30	2.28	1.61	1.53	1.19	1.14	1.14	1.12	1.11
2023-07-31T11:17:24	2022-10-25T14:42:22	EUR	Printed badge	Bedrukte patch met borduurrand	1	47.00	47.00	0		True	True	0 - 50 cm2	0	50	3.85	2.97	2.64	2.31	2.15	1.98	1.98	1.98	1.98	6.75	5.21	4.63	4.05	3.77	3.47	3.47	3.47	3.47
