FeedCreatedDateTime	ItemPriceLastModifiedDateTime	Currency	ModelCode	ItemCode	ItemName	NonStandardDiscount	Outlet	AllPrintCodes	MOQBlankOrder	Qty1	Qty2	Qty3	Qty4	Qty5	Qty6	ItemPriceNet_Qty1	ItemPriceNet_Qty2	ItemPriceNet_Qty3	ItemPriceNet_Qty4	ItemPriceNet_Qty5	ItemPriceNet_Qty6	ItemPriceGross_Qty1	ItemPriceGross_Qty2	ItemPriceGross_Qty3	ItemPriceGross_Qty4	ItemPriceGross_Qty5	ItemPriceGross_Qty6	AdditionalCostDesc	AdditionalCost
2023-09-18T11:27:09	2023-03-24T10:13:11	EUR	P453.35	P453.351	Impact AWARE ™ 5 panel recycled katoenen truckercap, zwart			Screen Transfer OS,Digital Transfer OS,Printed badge,Leather badge,Embroidery 3D,Embroidery	1	1	250	500	1000	2500	5000	2.29	2.23	2.17	2.10	2.06	2.02	4.01	3.91	3.80	3.69	3.62	3.55		
2023-09-18T11:27:09	2023-03-24T10:13:11	EUR	P453.35	P453.353	Impact AWARE ™ 5 panel recycled katoenen truckercap, wit			Screen Transfer OS,Digital Transfer OS,Leather badge,Printed badge,Embroidery 3D,Embroidery	1	1	250	500	1000	2500	5000	2.29	2.23	2.17	2.10	2.06	2.02	4.01	3.91	3.80	3.69	3.62	3.55		
2023-09-18T11:27:09	2023-03-24T10:13:12	EUR	P453.35	P453.354	Impact AWARE ™ 5 panel recycled katoenen truckercap, rood			Screen Transfer OS,Digital Transfer OS,Leather badge,Printed badge,Embroidery 3D,Embroidery	1	1	250	500	1000	2500	5000	2.29	2.23	2.17	2.10	2.06	2.02	4.01	3.91	3.80	3.69	3.62	3.55		
2023-09-18T11:27:09	2023-03-24T10:13:12	EUR	P453.35	P453.355	Impact AWARE ™ 5 panel recycled katoenen truckercap, blauw			Screen Transfer OS,Digital Transfer OS,Leather badge,Printed badge,Embroidery 3D,Embroidery	1	1	250	500	1000	2500	5000	2.29	2.23	2.17	2.10	2.06	2.02	4.01	3.91	3.80	3.69	3.62	3.55		
2023-09-18T11:27:09	2023-03-24T10:13:12	EUR	P453.35	P453.359	Impact AWARE ™ 5 panel recycled katoenen truckercap, donkerblauw			Screen Transfer OS,Digital Transfer OS,Printed badge,Leather badge,Embroidery 3D,Embroidery	1	1	250	500	1000	2500	5000	2.29	2.23	2.17	2.10	2.06	2.02	4.01	3.91	3.80	3.69	3.62	3.55		
2023-09-18T11:27:09	2023-03-24T10:13:09	EUR	P453.36	P453.361	Impact AWARE ™ 6 panel 280gr recycled  katoen cap met bies, zwart			Embroidery,Screen Transfer OS,Digital Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.48	2.42	2.35	2.28	2.24	2.19	4.35	4.24	4.12	4.00	3.93	3.85		
2023-09-18T11:27:09	2023-03-24T10:13:10	EUR	P453.36	P453.363	Impact AWARE ™ 6 panel 280gr recycled  katoen cap met bies, wit			Embroidery,Screen Transfer OS,Digital Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.48	2.42	2.35	2.28	2.24	2.19	4.35	4.24	4.12	4.00	3.93	3.85		
2023-09-18T11:27:09	2023-03-24T10:13:10	EUR	P453.36	P453.364	Impact AWARE ™ 6 panel 280gr recycled  katoen cap met bies, rood			Embroidery,Screen Transfer OS,Digital Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.48	2.42	2.35	2.28	2.24	2.19	4.35	4.24	4.12	4.00	3.93	3.85		
2023-09-18T11:27:09	2023-03-24T10:13:10	EUR	P453.36	P453.365	Impact AWARE ™ 6 panel 280gr recycled  katoen cap met bies, blauw			Embroidery,Screen Transfer OS,Digital Transfer OS,Leather badge,Printed badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.48	2.42	2.35	2.28	2.24	2.19	4.35	4.24	4.12	4.00	3.93	3.85		
2023-09-18T11:27:09	2023-03-24T10:13:10	EUR	P453.36	P453.369	Impact AWARE ™ 6 panel 280gr recycled  katoen cap met bies, donkerblauw			Embroidery,Screen Transfer OS,Digital Transfer OS,Printed badge,Leather badge,Embroidery 3D	1	1	250	500	1000	2500	5000	2.48	2.42	2.35	2.28	2.24	2.19	4.35	4.24	4.12	4.00	3.93	3.85		
2023-09-18T11:27:09	2022-10-24T15:22:12	EUR	P453.37	P453.371	Impact AWARE™ Polylana®  klassieke beanie, zwart			Embroidery,Leather badge,Printed badge	1	1	250	500	1000	2500	5000	2.44	2.38	2.31	2.25	2.21	2.16	4.28	4.17	4.06	3.94	3.87	3.79		
2023-09-18T11:27:09	2022-10-24T15:22:12	EUR	P453.37	P453.372	Impact AWARE™ Polylana®  klassieke beanie, grijs			Embroidery,Leather badge,Printed badge	1	1	250	500	1000	2500	5000	2.44	2.38	2.31	2.25	2.21	2.16	4.28	4.17	4.06	3.94	3.87	3.79		
2023-09-18T11:27:09	2022-10-24T15:22:12	EUR	P453.37	P453.379	Impact AWARE™ Polylana®  klassieke beanie, donkerblauw			Embroidery,Printed badge,Leather badge	1	1	250	500	1000	2500	5000	2.44	2.38	2.31	2.25	2.21	2.16	4.28	4.17	4.06	3.94	3.87	3.79		
2023-09-18T11:27:09	2022-09-29T12:31:44	EUR	P453.39	P453.391	Impact AWARE™ Polylana® dubbel gebreide muts, zwart			Embroidery,Printed badge,Leather badge	1	1	100	250	500	1000	1500	3.83	3.73	3.63	3.53	3.46	3.39	6.72	6.55	6.37	6.19	6.07	5.95		
2023-09-18T11:27:09	2022-09-29T12:31:44	EUR	P453.39	P453.392	Impact AWARE™ Polylana® dubbel gebreide muts, antraciet			Embroidery,Printed badge,Leather badge	1	1	100	250	500	1000	1500	3.83	3.73	3.63	3.53	3.46	3.39	6.72	6.55	6.37	6.19	6.07	5.95		
2023-09-18T11:27:09	2022-09-29T12:31:44	EUR	P453.39	P453.395	Impact AWARE™ Polylana® dubbel gebreide muts, blauw			Embroidery,Printed badge,Leather badge	1	1	100	250	500	1000	1500	3.83	3.73	3.63	3.53	3.46	3.39	6.72	6.55	6.37	6.19	6.07	5.95		
